Data incidente,Giorno,Denominazione strada o centro abitato,Localita' dell'incidente,Latitudine,Longitudine,Centro abitato,Tipologia del sinistro,Tipo di strada,Caratteristiche della strada,Stato fondo stradale,Tipo pavimentazione,Condizioni meteo,Condizioni traffico,Danni a cose,Incidente con lesioni,Persone ferite,Pedoni feriti,Persone decedute,Pedoni deceduti,Prognosi riservate,Prognosi fino a 20 gg,Prognosi da 21 a 40 gg,Prognosi oltre 40 gg,N. veicoli coinvolti,Autovettura pr.,Autovettura pb.,Autocarro,Autobus,Motocarro,Motociclo,Ciclomotore,Quadriciclo,Velocipede,Micromobilita' elettrica,Altro,Violazioni,LAT/LONG
01 April 2023,Sab,VIA MANZONI all'intersezione con Via Giovanni Segantini,MONZA,45.5835729,9.2712298,si,Scontro frontale/laterale DX fra veicoli in marcia,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,,,1.0,,,Art.154/1 CdS,POINT (9.2712298 45.5835729)
02 November 2023,Gio,Via Antonio Cederna all'intersezione semaforizzata con VIA BORSA,MONZA,45.57963,9.28943,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Intersezione semaforizzata,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,no,si,1.0,,,,,1.0,,,2,2.0,,,,,,,,,,,Art.154/8 CdS,POINT (9.28943 45.57963)
05 February 2023,Dom,V.LE CESARE BATTISTI all'intersezione semaforizzata con VIA BOITO,MONZA,45.59197,9.26304,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Intersezione semaforizzata,Asciutto,Asfaltata,Sereno,Normale,no,si,2.0,,,,,2.0,,,2,1.0,,,,,1.0,,,,,,Art.154/1 CdS,POINT (9.26304 45.59197)
04 October 2023,Mer,VIA BOITO in prossimita' del civico n.71/73,MONZA,45.5971952,9.2565286,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,1.0,,,,,Art.154/1 CdS,POINT (9.2565286 45.5971952)
20 December 2023,Mer,Via Marsala Altezza eser. com. 'Viaggiator goloso' civ. 41- 43,MONZA,45.57533255,9.26030637,si,Investimento di pedone,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,1.0,,,,1.0,,,1,1.0,,,,,,,,,,,Art.191/1 CdS,POINT (9.26030637 45.57533255)
14 October 2023,Sab,Piazzale Virgilio opposto immissione da viale Battisti,MONZA,45.5914682,9.2536311,si,Fuoriuscita dalla sede stradale,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Scarso,no,no,,,,,,,,,1,1.0,,,,,,,,,,,"Art.141/2 CdS, Art.180/1 CdS, Art.186/2 CdS",POINT (9.2536311 45.5914682)
30 October 2023,Lun,VIA BORGAZZI in prossimita' del civico n.101,MONZA,45.5648862,9.2603536,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,no,no,,,,,,,,,2,2.0,,,,,,,,,,,Art.143/1 CdS,POINT (9.2603536 45.5648862)
17 August 2023,Gio,Via Carlo Alberto in prossimita' del civico n.25/E,MONZA,45.5863279,9.2757442,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,,,,,,,,,2,,,,,,,,,1.0,1.0,,Art.148/15 CdS,POINT (9.2757442 45.5863279)
13 November 2023,Lun,Via San Rocco in prossimita' del civico n.opp. 6,MONZA,45.55955,9.26308,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,,,1.0,,,Art.154/1 CdS,POINT (9.26308 45.55955)
15 October 2023,Dom,Viale Sicilia fronte concessionaria venus/mercedes,MONZA,45.5812018,9.3079905,si,Ribaltamento senza urto contro ostacolo fisso,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,,,,,,,,,1,1.0,,,,,,,,,,,Art.141/2 CdS,POINT (9.3079905 45.5812018)
